typeName,resortName,peakBeginDate1,peakEndDate1,peakPrice1,peakBeginDate2,peakEndDate2,peakPrice2,highBeginDate,highEndDate,highPrice,lowBeginDate,lowEndDate,lowPrice,promoBeginDate,promoEndDate,promoPrice
plp-1,plp,,,,,,,,,,,,,,,
plp-2,plp,,,,,,,,,,,,,,,
vbay-1,vbay,,,,,,,,,,,,,,,
vbay-2,vbay,,,,,,,,,,,,,,,
vbay-3,vbay,,,,,,,,,,,,,,,
vbay-4,vbay,,,,,,,,,,,,,,,
vp-1,vp,,,,,,,,,,,,,,,
vp-2,vp,,,,,,,,,,,,,,,
vp-3,vp,,,,,,,,,,,,,,,
vp-4,vp,,,,,,,,,,,,,,,
pelican-villa,pelican,,,,,,,,,,,,750,,,
kirk-casita,kirk,2016-11-20,2016-11-26,160,2016-12-25,2017-01-01,160,2016-11-01,2017-04-14,125,2016-04-15,2016-10-31,80,,,
kirk-cardon,kirk,2016-11-20,2016-11-26,170,2016-12-25,2017-01-01,170,2016-11-01,2017-04-14,145,2016-04-15,2016-10-31,110,,,
kirk-1bd-1,kirk,2016-11-20,2016-11-26,200,2016-12-25,2017-01-01,200,2016-11-01,2017-04-14,170,2016-04-15,2016-10-31,120,,,
kirk-1bd-2,kirk,2016-11-20,2016-11-26,120,2016-12-25,2017-01-01,120,2016-11-01,2017-04-14,110,2016-04-15,2016-10-31,70,,,
kirk-2bd,kirk,2016-11-20,2016-11-26,315,2016-12-25,2017-01-01,315,2016-11-01,2017-04-14,250,2016-04-15,2016-10-31,180,,,
kirk-4bd,kirk,2016-11-20,2016-11-26,510,2016-12-25,2017-01-01,510,2016-11-01,2017-04-14,360,2016-04-15,2016-10-31,240,,,
bj-1,bj,2016-12-14,2017-01-15,115,,,,2016-10-15,2017-04-30,105,2016-05-01,2016-10-14,80,,,
bj-2,bj,2016-12-14,2017-01-15,105,,,,2016-10-15,2017-04-30,95,2016-05-01,2016-10-14,70,,,
bj-3,bj,2016-12-14,2017-01-15,85,,,,2016-10-15,2017-04-30,75,2016-05-01,2016-10-14,60,,,
bj-4,bj,2016-12-14,2017-01-15,50,,,,2016-10-15,2017-04-30,40,2016-05-01,2016-10-14,40,,,
dw-1,dw,,,,,,,,,,,,,,,
kirt-1,kirt,,,,,,,,,,,,,,,
kirt-2,kirt,,,,,,,,,,,,,,,
vwind-1,vwind,,,,,,,,,,,,,,,
vwind-2,vwind,,,,,,,,,,,,,,,
vwind-3,vwind,,,,,,,,,,,,,,,
vwind-4,vwind,,,,,,,,,,,,,,,
